calendar_year,hybrid_vehicle,phev,bev,all_pass_sales,hybrid_share,phev_share,bev_share
1999,0.0,0.0,0.0,"16,711",0,0,0
2000,9.4,0.0,0.0,"17,164",0.1,0,0
2001,20.3,0.0,0.0,"16,950",0.1,0,0
2002,36.0,0.0,0.0,"16,675",0.2,0,0
2003,47.6,0.0,0.0,"16,494",0.3,0,0
2004,84.2,0.0,0.0,"16,737",0.5,0,0
2005,205.9,0.0,0.0,"16,774",1.2,0,0
2006,251.9,0.0,0.0,"16,336",1.5,0,0
2007,351.1,0.0,0.0,"15,867",2.2,0,0
2008,315.8,0.0,0.0,"13,015",2.4,0,0
2009,290.3,0.0,0.0,"10,236",2.8,0,0
2010,274.6,0.3,0.0,"11,394",2.4,0,0
2011,268.7,7.7,10.1,"12,542",2.1,0.1,0.1
2012,434.6,38.6,14.6,"14,220",3.1,0.3,0.1
2013,495.5,49.0,48.1,"15,279",3.2,0.3,0.3
2014,452.2,55.4,63.5,"16,192",2.8,0.3,0.4
2015,384.4,43.0,71.1,"17,107",2.2,0.3,0.4
2016,346.9,72.9,86.7,"17,179",2,0.4,0.5
2017,362.9,91.2,104.5,"16,827",2.2,0.5,0.6
2018,338.1,123.9,207.1,"16,919",2,0.7,1.2
2019,399.4,85.8,233.8,"16,630",2.4,0.5,1.4
2020,455.1,69.0,238.5,"14,123",3.2,0.5,1.7
2021,799.0,173.5,459.4,"14,570",5.5,1.2,3.2